2025-05-28 10:09:25.042 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-05-28 10:09:25.104 [main] INFO  top.gx.ContentApplication - Starting ContentApplication using Java 17.0.8 with PID 2700 (D:\Users\DRIVESAFE\Desktop\gx-cloud\gx-cloud-content\target\classes started by DRIVESAFE in D:\Users\DRIVESAFE\Desktop\gx-cloud)
2025-05-28 10:09:25.106 [main] INFO  top.gx.ContentApplication - No active profile set, falling back to 1 default profile: "default"
2025-05-28 10:09:26.424 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-05-28 10:09:26.427 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-05-28 10:09:26.465 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 23 ms. Found 0 Redis repository interfaces.
2025-05-28 10:09:26.773 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=beaaa3c8-9791-300c-9982-6d4de8e6c6cf
2025-05-28 10:09:27.033 [com.alibaba.nacos.client.remote.worker.1] INFO  c.a.nacos.common.remote.client.grpc.GrpcClient - grpc client connection server:8.147.232.206 ip,serverPort:9848,grpcTslConfig:{"sslProvider":"","enableTls":false,"mutualAuthEnable":false,"trustAll":false}
2025-05-28 10:09:28.191 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2025-05-28 10:09:28.195 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [2.0.5] using APR version [1.7.4].
2025-05-28 10:09:28.219 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 3.0.10 1 Aug 2023]
2025-05-28 10:09:28.227 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2025-05-28 10:09:28.228 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-05-28 10:09:28.228 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.26]
2025-05-28 10:09:28.293 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-05-28 10:09:28.294 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3145 ms
2025-05-28 10:09:28.542 [main] INFO  org.redisson.Version - Redisson 3.21.3
2025-05-28 10:09:28.892 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2025-05-28 10:09:28.920 [main] INFO  o.s.b.a.logging.ConditionEvaluationReportLogger - 

